frame_count,start_sample,end_sample,sf,bw,sample_rate,samples_per_symbol,preamble_len,snr_db,cfo,sto,sfo,netid1,netid2,symbol_count,downsample_phase,os_factor,fft_n
1,645341,695517,10,125000.0,500000.0,4096,8,8.512044906616211,-20.35763931274414,456.8574523925781,-0.005217766854912043,24,32,8,2,4,1024
2,3145516,3195692,10,125000.0,500000.0,4096,8,8.108922004699707,-20.395870208740234,876.0923461914062,-0.005227565765380859,24,32,8,2,4,1024
3,5646022,5696198,10,125000.0,500000.0,4096,8,9.229923248291016,-20.41312026977539,793.683837890625,-0.005231986753642559,24,32,8,2,4,1024
4,8146337,8196513,10,125000.0,500000.0,4096,8,9.11354923248291,-20.43842315673828,841.2185668945312,-0.005238472484052181,24,32,8,2,4,1024
5,10646420,10696596,10,125000.0,500000.0,4096,8,9.391080856323242,-21.457382202148438,898.7342529296875,-0.005499636754393578,25,33,8,2,4,1024
6,13146767,13196943,10,125000.0,500000.0,4096,8,5.287998199462891,-20.503541946411133,834.2938842773438,-0.005255162715911865,23,31,8,2,4,1024
7,15647235,15697411,10,125000.0,500000.0,4096,8,8.275715827941895,-20.589536666870117,804.4172973632812,-0.005277203395962715,23,31,8,2,4,1024
8,18148123,18198299,10,125000.0,500000.0,4096,8,7.796956539154053,-20.66840934753418,698.86083984375,-0.005297419149428606,24,32,8,2,4,1024
9,20648738,20698914,10,125000.0,500000.0,4096,8,8.626245498657227,-20.74764633178711,765.9368286132812,-0.005317727569490671,24,32,8,2,4,1024
10,23149535,23199711,10,125000.0,500000.0,4096,8,8.393891334533691,-20.802289962768555,720.88134765625,-0.005331733264029026,24,32,8,2,4,1024
